"Taxon","Region","MinAge","MaxAge","Locality"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Courcelles-de-Touraine MN5_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Crastes_siteSet_1"
"Prodeinotherium bavaricum","Europe",12.5,16.4,"Derching_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Eibiswald_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Enghausen_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Esvres - Marine Faluns_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Franzensbad_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Genneteil MN5_siteSet_1"
"Archaeobelodon filholi","Europe",14.2,16.4,"Noyant-sous-le-Lude MN5_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Noyant-sous-le-Lude MN5_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Georgensgmünd_siteSet_1"
"Zygolophodon turicensis","Europe",14.2,16.4,"Noyant-sous-le-Lude MN5_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Göttschlag 1b_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Grund_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Hommes MN5_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"La Condoue_siteSet_1"
"Prodeinotherium pentapotamiae","Asia",14.2,16.4,"Manchar 1_siteSet_1"
"Prodeinotherium pentapotamiae","Asia",14.2,16.4,"Manchar 2_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Meigné-le-Vicomte MN5_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Méon MN5_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Noyant-sous-le-Lude MN5_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Oggenhausen 1_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Oggenhausen 1_siteSet_1"
"Prodeinotherium bavaricum","Europe",12.5,16.4,"Pfaffenzell_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Pont-Boutard MN5_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Pontigné MN5_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Pontlevoy_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"PAR-Penuelas (Madrid)_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Poudenas-Peyrecrechen_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Savigné-sur-Lathan MN5_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Seegraben (Leoben)_siteSet_1"
"Prodeinotherium bavaricum","Europe",12.5,16.4,"Unterzolling_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Pont-Boutard MN5_siteSet_1"
"Zygolophodon turicensis","Europe",14.2,16.4,"Pont-Boutard MN5_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Pontigné MN5_siteSet_1"
