"Taxon","Region","MinAge","MaxAge","Locality"
"Gomphotherium steinheimense","Europe",9.5,11.2,"Hinterauerbach_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Höwenegg_siteSet_1"
"Choerolophodon pentelici","Asia",9,11.2,"Inönü 2_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Isakovo_siteSet_1"
"Choerolophodon pentelici","Europe",9.5,11.2,"Kalfa_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Kalfa_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Kettenheim_siteSet_1"
"Zygolophodon turicensis","Asia",9.5,11.2,"Kulanutpes_siteSet_1"
"Gomphotherium angustidens","Europe",9,11.2,"La Ciesma 3_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Laaerberg_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,11.2,"Laaerberg_siteSet_1"
"Deinotherium giganteum","Europe",9,11.2,"Labastide d'Armagnac_siteSet_1"
"Paratetralophodon exoletus","Asia",9,11.2,"Lantian-Shuijiazui_siteSet_1"
"Paratetralophodon exoletus","Asia",9,11.2,"Lantian-shuijiazui-L1(s5)_siteSet_1"
"Paratetralophodon exoletus","Asia",9,11.2,"Lantian-shuijiazui-L4(s6)_siteSet_1"
"Zygolophodon turicensis","Europe",9.5,11.2,"Lapushna_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,11.2,"Meidling_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Mistelbach_siteSet_1"
"Zygolophodon turicensis","Europe",9.5,11.2,"Montastruc-sur-Baïse_siteSet_1"
"Tetralophodon longirostris","Europe",9,11.2,"Monteagudo (Vallesian)_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Nessebar_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,11.2,"Nombrevilla-1_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Oberhollabrunn_siteSet_1"
"Choerolophodon pentelici","Europe",9,11.2,"Pentalophos 1 (PNT)_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,11.2,"Polinýa_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,11.2,"Polinýa 2_siteSet_1"
"Deinotherium giganteum","Europe",9,11.2,"Sant Miquel de Taudell_siteSet_1"
"Tetralophodon longirostris","Europe",9,11.2,"Sant Miquel de Taudell_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Santiga (Sabadell)_siteSet_1"
"Gomphotherium angustidens","Europe",9.5,11.2,"Santiga (Sabadell)_siteSet_1"
"Choerolophodon anatolicus","Asia",9,11.2,"Sinap 45_siteSet_1"
"Choerolophodon anatolicus","Asia",9,11.2,"Sinap 51_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Subsol de Sabadell_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,11.2,"Subsol de Sabadell_siteSet_1"
"Gomphotherium angustidens","Europe",9.5,11.2,"Teuleria del Firal_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,11.2,"Teuleria del Firal_siteSet_1"
"Choerolophodon pentelici","Asia",7.1,11.2,"Tilkilikderesi_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,11.2,"Trie-sur-Baïse_siteSet_1"
"Choerolophodon pentelici","Europe",9.5,11.2,"Varnitsa_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Vösendorf_siteSet_1"
"Gomphotherium subtapiroideum","Europe",9.5,11.2,"Wartenberg_siteSet_1"
"Zygolophodon turicensis","Europe",9.5,11.2,"Wartenberg_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Westhofen_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,11.2,"Westhofen_siteSet_1"
"Deinotherium giganteum","Europe",9,11.2,"Wien 12_siteSet_1"
"Deinotherium giganteum","Europe",9,11.2,"Wien 3_siteSet_1"
"Tetralophodon longirostris","Europe",9,11.2,"Wien-Belvedere_siteSet_1"
"Prodeinotherium bavaricum","Europe",9.5,11.2,"Gau-Weinheim_siteSet_1"
"Paratetralophodon exoletus","Asia",9.5,11.2,"Wuzhong-ganhegou_siteSet_1"
"Choerolophodon pentelici","Asia",7.1,11.2,"Yeniyaylacik_siteSet_1"
"Prodeinotherium bavaricum","Europe",9.5,11.2,"Oberhollabrunn_siteSet_1"
"Miomastodon proavus","Europe",10.65,11.2,"Zheltokamenka_siteSet_1"
"Platybelodon grangeri","Asia",9.5,11.2,"Zhongning-ganhegou_siteSet_1"
"Deinotherium giganteum","Europe",9,11.2,"Zistersdorf_siteSet_1"
"Konobelodon robustus","Asia",9.5,11.2,"Zhongmajia (LX200049) - Liushu Fm_siteSet_1"
"Deinotherium giganteum","Europe",10.94,10.989,"Nombrevilla-9_siteSet_1"
"Tetralophodon longirostris","Europe",10.94,10.989,"Nombrevilla-9_siteSet_1"
"Deinotherium giganteum","Europe",9.5,10.35,"Rudabánya_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,10.35,"Rudabánya_siteSet_1"
"Platybelodon danovi","Asia",9,10.1,"Oshin-I-5 upper_siteSet_1"
"Stegolophodon latidens","Asia",9,10,"Irrawaddy 1_siteSet_1"
"Stegolophodon stegodontoides","Asia",6,10,"Irrawaddy 1_siteSet_2"
"Deinotherium bozasi","Africa",9.7,9.9,"Nakali_siteSet_1"
"Choerolophodon pentelici","Asia",7.1,9.88,"Eldari_siteSet_1"
"Deinotherium giganteum","Asia",7.1,9.88,"Eldari_siteSet_1"
"Choerolophodon anatolicus","Asia",9.428,9.735,"Sinap 12_siteSet_1"
"Deinotherium giganteum","Europe",9.491,9.592,"Can Llobateres I_siteSet_1"
"Tetralophodon longirostris","Europe",9.491,9.592,"Can Llobateres I_siteSet_1"
"Deinotherium giganteum","Asia",8.538,9.55,"Udabno II_siteSet_1"
"Deinotherium giganteum","Europe",9,9.5,"Can Purull_siteSet_1"
"Tetralophodon longirostris","Europe",9,9.5,"Can Purull_siteSet_1"
"Tetralophodon longirostris","Europe",9,9.5,"Cerro de los Batallones 1_siteSet_1"
"Choerolophodon pentelici","Europe",7.1,9.5,"Chobruchi (Tchobroutchi)_siteSet_1"
"Deinotherium giganteum","Europe",7.1,9.5,"Chobruchi (Tchobroutchi)_siteSet_1"
"Choerolophodon pentelici","Asia",9,9.5,"Eldari I_siteSet_1"
"Deinotherium giganteum","Asia",9,9.5,"Eldari I_siteSet_1"
"Tetralophodon longirostris","Asia",9,9.5,"Eldari I_siteSet_1"
"Deinotherium giganteum","Europe",9,9.5,"Grebeniki_siteSet_1"
"Tetralophodon longirostris","Europe",9,9.5,"Grebeniki_siteSet_1"
"Paratetralophodon exoletus","Asia",9,9.5,"Hezheng-Dashengou_siteSet_1"
"Choerolophodon ngorora","Africa",9,9.5,"Samburu Hills (Namurungule)_siteSet_1"
"Deinotherium bozasi","Africa",9,9.5,"Samburu Hills (Namurungule)_siteSet_1"
"Tetralophodon longirostris","Europe",9,9.5,"La Roma 2_siteSet_1"
"Tetralophodon longirostris","Europe",9,9.5,"La Salle_siteSet_1"
"Deinotherium giganteum","Europe",9,9.5,"Montredon_siteSet_1"
"Choerolophodon pentelici","Europe",8.2,9.5,"Novaja Emetovka_siteSet_1"
"Tetralophodon longirostris","Europe",8.2,9.5,"Novaja Emetovka_siteSet_1"
"Deinotherium giganteum","Europe",9,9.5,"Orignac_siteSet_1"
"Tetralophodon longirostris","Europe",9,9.5,"Orignac_siteSet_1"
"Tetralophodon longirostris","Europe",9,9.5,"Poksheshty_siteSet_1"
"Choerolophodon pentelici","Europe",9,9.5,"Ravin des Zouaves 1_siteSet_1"
"Deinotherium giganteum","Europe",9,9.5,"Respopeny_siteSet_1"
"Tetralophodon longirostris","Europe",9,9.5,"Schernham b. Haag_siteSet_1"
"Deinotherium giganteum","Europe",9,9.5,"Soblay_siteSet_1"
"Tetralophodon longirostris","Europe",9,9.5,"Soblay_siteSet_1"
"Zygolophodon turicensis","Europe",9,9.5,"Soblay_siteSet_1"
"Deinotherium giganteum","Europe",9,9.5,"Stratzing_siteSet_1"
"Deinotherium giganteum","Europe",9,9.5,"Terrassa_siteSet_1"
"Tetralophodon longirostris","Europe",9,9.5,"Terrassa_siteSet_1"
"Choerolophodon pentelici","Europe",9,9.5,"Tiraspol (Kolkotova Balka)_siteSet_1"
"Choerolophodon anatolicus","Asia",9,9.5,"Yulafli (CY)_siteSet_1"
"Deinotherium giganteum","Asia",9,9.5,"Yulafli (CY)_siteSet_1"
"Konobelodon atticus","Asia",9,9.5,"Yulafli (CY)_siteSet_1"
"Tetralophodon longirostris","Asia",9,9.5,"Yulafli (CY)_siteSet_1"
"Gomphotherium productum","North America",9,9.5,"UCMP V-3310, Black Hawk Ranch_siteSet_1"
"Konobelodon robustus","Asia",9,9.5,"Houshan (LX200008) - Liushu Fm_siteSet_1"
"Tetralophodon euryrostris","Asia",9,9.5,"Linxia Basin (locality unknown)_siteSet_1"
"Konobelodon robustus","Asia",9,9.5,"Niugou( LX200204) Liushu Fm_siteSet_1"
"Konobelodon robustus","Asia",9,9.5,"Panyang (LX200037) - Liushu Fm_siteSet_1"
"Konobelodon robustus","Asia",9,9.5,"Shanzhuang (LX200027) - Liushu Fm_siteSet_1"
"Konobelodon robustus","Asia",9,9.5,"Shuanggongbei (LX200009) - Liushu Fm_siteSet_1"
"Konobelodon robustus","Asia",9,9.5,"Sigou( LX200007) - Liushu Fm_siteSet_1"
"Choerolophodon pentelici","Europe",9.428,9.491,"Xirochori 1 (XIR)_siteSet_1"
"Deinotherium giganteum","Europe",9.149,9.428,"La Tarumba I_siteSet_1"
"Tetralophodon longirostris","Europe",9.149,9.428,"La Tarumba I_siteSet_1"
"Choerolophodon anatolicus","Asia",9.149,9.428,"Sinap 83_siteSet_1"
"Choerolophodon pentelici","Europe",9.069,9.149,"Ravin de la Pluie (RPL)_siteSet_1"
"Choerolophodon anatolicus","Asia",9.069,9.149,"Sinap 49_siteSet_1"
"Deinotherium giganteum","Asia",9.069,9.149,"Sinap 49_siteSet_1"
"Choerolophodon pentelici","Asia",8.2,9,"Bala Yaylaköy_siteSet_1"
"Choerolophodon pentelici","Asia",7.1,9,"Batakcesme_siteSet_1"
"Rhynchotherium tlascalae","North America",7.6,9,"Central America CA10_siteSet_1"
"Rhynchotherium tlascalae","North America",7.6,9,"Central America CA9_siteSet_1"
"Torynobelodon loomisi","North America",4.9,9,"Central Great Plains CP116II_siteSet_1"
"Amebelodon floridanus","North America",7.6,9,"Central Great Plains CP123C_siteSet_1"
"Gnathabelodon thorpei","North America",7.6,9,"Central Great Plains CP123C_siteSet_1"
"Choerolophodon pentelici","Asia",7.1,9,"Corakyerler_siteSet_1"
"Deinotherium giganteum","Europe",8.2,9,"Crevillente 2_siteSet_1"
"Tetralophodon longirostris","Europe",8.2,9,"Crevillente 2_siteSet_1"
"Anancus lehmanni","Europe",8.2,9,"Dorn Dürkheim 1_siteSet_1"
"Tetralophodon longirostris","Europe",8.2,9,"Dorn Dürkheim 1_siteSet_1"
"Deinotherium giganteum","Europe",8.2,9,"Eichkogel_siteSet_1"
"Tetralophodon longirostris","Asia",8.075,9,"Eldari II & III_siteSet_1"
"Choerolophodon pentelici","Asia",8.2,9,"Eminova_siteSet_1"
"Choerolophodon pentelici","Asia",8.2,9,"Garkin_siteSet_1"
"Anancus sinensis","Asia",5.3,9,"Guide-heerjia_siteSet_1"
"Konobelodon britti","North America",7.6,9,"Gulf Coast GC10D_siteSet_1"
"Amebelodon floridanus","North America",7.6,9,"Gulf Coast GC11B_siteSet_1"
"Amebelodon floridanus","North America",6.8,9,"Gulf Coast GC11D_siteSet_1"
"Choerolophodon pentelici","Asia",7.1,9,"Hayranli Main Bed_siteSet_1"
"Paratetralophodon hasnotensis","Asia",5.3,9,"Huachi_siteSet_1"
"Choerolophodon pentelici","Asia",8.2,9,"Injana_siteSet_1"
"Choerolophodon pentelici","Asia",5.3,9,"Karatchok Dagh_siteSet_1"
"Deinotherium proavum","Asia",8.2,9,"Kayadibi_siteSet_1"
"Choerolophodon pentelici","Asia",7.1,9,"Kemiklitepe 1:2_siteSet_1"
"Tetralophodon longirostris","Europe",7.1,9,"Kerassia 4_siteSet_1"
"Choerolophodon pentelici","Europe",8.2,9,"Kocherinovo 2_siteSet_1"
"Deinotherium giganteum","Europe",8.2,9,"Kohfidisch_siteSet_1"
"Choerolophodon pentelici","Asia",8.2,9,"Küçükçekmece_siteSet_1"
"Choerolophodon pentelici","Asia",7.1,9,"Maragheh_siteSet_1"
"Deinotherium giganteum","Asia",7.1,9,"Maragheh_siteSet_1"
"Tetralophodon longirostris","Africa",5.3,9,"Melka el Ouidane_siteSet_1"
"Mammut borsoni","Europe",5.3,9,"Morskaya 2_siteSet_1"
"Choerolophodon pentelici","Europe",8.2,9,"Nikiti 2 (NIK)_siteSet_1"
"Amebelodon fricki","North America",7.6,9,"Northern Great Plains NP45_siteSet_1"
"Deinotherium giganteum","Europe",7.1,9,"Novo-Elizavetovka_siteSet_1"
"Tetralophodon longirostris","Europe",7.1,9,"Novo-Elizavetovka_siteSet_1"
"Zygolophodon turicensis","Europe",7.1,9,"Novo-Elizavetovka_siteSet_1"
"Deinotherium giganteum","Europe",8.2,9,"Piera_siteSet_1"
"Tetralophodon longirostris","Europe",8.2,9,"Piera_siteSet_1"
"Tetralophodon longirostris","Europe",8.2,9,"Puente Minero_siteSet_1"
"Choerolophodon pentelici","Europe",7.1,9,"Pyrgos Vassilissis_siteSet_1"
"Choerolophodon pentelici","Europe",5.3,9,"Ravin Ar._siteSet_1"
"Choerolophodon pentelici","Europe",8.2,9,"Ravin des Zouaves 5_siteSet_1"
"Zygolophodon turicensis","Europe",8.2,9,"Ravin des Zouaves 5_siteSet_1"
"Choerolophodon pentelici","Asia",5.3,9,"Rustavi_siteSet_1"
"Stegotetrabelodon syrticus","Asia",5.3,9,"Ruwais_siteSet_1"
"Choerolophodon pentelici","Asia",8.2,9,"Sabuncubaglari 1_siteSet_1"
"Paratetralophodon hasnotensis","Asia",5.3,9,"Siwaliks B0016_siteSet_1"
"Amebelodon fricki","North America",7.6,9,"Southern Great Plains SP1C_siteSet_1"
"Gomphotherium wimani","Asia",5.3,9,"Yushe_siteSet_1"
"Paratetralophodon exoletus","Asia",5.3,9,"Yushe_siteSet_1"
"Prodeinotherium bavaricum","Europe",8.2,9,"Kalimanci 1_siteSet_1"
"Deinotherium proavum","Europe",8.2,9,"Dorn Dürkheim 1_siteSet_1"
"Sinomammut tobieni","Asia",5.3,9,"Yanghecun (above Xihanshui group)_siteSet_1"
"Choerolophodon pentelici","Asia",8.16,8.96,"Lower Maragheh_siteSet_1"
"Deinotherium giganteum","Asia",8.529,8.861,"Udabno I_siteSet_1"
"Deinotherium giganteum","Asia",7.1,8.2,"Abkhare_siteSet_1"
"Choerolophodon pentelici","Asia",7.1,8.2,"Akkasdagi_siteSet_1"
"Konobelodon atticus","Asia",7.1,8.2,"Akkasdagi_siteSet_1"
"Anancus lehmanni","Europe",7.1,8.2,"Alfacar_siteSet_1"
"Deinotherium proavum","Europe",7.1,8.2,"Baltavar_siteSet_1"
"Mammut borsoni","Europe",7.1,8.2,"Baltavar_siteSet_1"
"Tetralophodon longirostris","Europe",7.1,8.2,"Baltavar_siteSet_1"
"Konobelodon atticus","Asia",7.1,8.2,"Baynunah_siteSet_1"
"Stegotetrabelodon syrticus","Asia",7.1,8.2,"Baynunah_siteSet_1"
"Anancus lehmanni","Europe",7.1,8.2,"Cerro de la Garita_siteSet_1"
"Deinotherium giganteum","Europe",7.1,8.2,"Cerro de la Garita_siteSet_1"
"Tetralophodon longirostris","Europe",7.1,8.2,"Cerro de la Garita_siteSet_1"
"Zygolophodon turicensis","Europe",7.1,8.2,"Cerro de la Garita_siteSet_1"
"Deinotherium giganteum","Europe",7.1,8.2,"Chimishlija (Cimislia)_siteSet_1"
"Mammut borsoni","Europe",7.1,8.2,"Chimishlija (Cimislia)_siteSet_1"
"Tetralophodon longirostris","Europe",7.1,8.2,"Chimishlija (Cimislia)_siteSet_1"
"Zygolophodon turicensis","Europe",7.1,8.2,"Chimishlija (Cimislia)_siteSet_1"
"Choerolophodon pentelici","Europe",7.1,8.2,"Chomateres_siteSet_1"
"Anancus lehmanni","Europe",7.1,8.2,"Concud_siteSet_1"
"Tetralophodon longirostris","Europe",7.1,8.2,"Concud_siteSet_1"
"Zygolophodon turicensis","Europe",7.1,8.2,"Concud_siteSet_1"
"Zygolophodon turicensis","Europe",7.1,8.2,"Concud 2_siteSet_1"
"Deinotherium giganteum","Europe",7.1,8.2,"Crevillente 15_siteSet_1"
"Tetralophodon longirostris","Europe",7.1,8.2,"Crevillente 16_siteSet_1"
"Choerolophodon pentelici","Asia",7.1,8.2,"Duzyayla_siteSet_1"
"Deinotherium giganteum","Asia",7.1,8.2,"Duzyayla_siteSet_1"
"Choerolophodon pentelici","Asia",7.1,8.2,"Gülpinar_siteSet_1"
"Choerolophodon pentelici","Asia",7.1,8.2,"Gülpinar 3_siteSet_1"
"Mammut borsoni","Europe",7.1,8.2,"Gura-Galben_siteSet_1"
"Mammut borsoni","Europe",7.1,8.2,"Hadjidimovo-1_siteSet_1"
"Choerolophodon pentelici","Europe",7.1,8.2,"Halmyropotamos (HAL)_siteSet_1"
"Deinotherium proavum","Europe",7.1,8.2,"Halmyropotamos (HAL)_siteSet_1"
"Stegotetrabelodon syrticus","Asia",5.3,8.2,"Hamra_siteSet_1"
"Deinotherium giganteum","Asia",7.1,8.2,"Ivand_siteSet_1"
"Stegotetrabelodon syrticus","Asia",5.3,8.2,"Jebel Dhannah_siteSet_1"
"Stegotetrabelodon syrticus","Asia",5.3,8.2,"Kihal_siteSet_1"
"Mammut borsoni","Europe",7.1,8.2,"Kishinev (Ginkulov monastry)_siteSet_1"
"Gomphotherium angustidens","Europe",7.1,8.2,"Las Pedrizas_siteSet_1"
"Tetralophodon longirostris","Europe",7.1,8.2,"Los Mansuetos_siteSet_1"
"Miomastodon gobiensis","Asia",7.1,8.2,"Lufeng-shihuiba_siteSet_1"
"Paratetralophodon exoletus","Asia",7.1,8.2,"Lufeng-shihuiba_siteSet_1"
"Tetralophodon longirostris","Europe",7.1,8.2,"Masada del Valle 2_siteSet_1"
"Choerolophodon pentelici","Europe",7.1,8.2,"Pikermi_siteSet_1"
"Deinotherium proavum","Europe",7.1,8.2,"Pikermi_siteSet_1"
"Konobelodon atticus","Europe",7.1,8.2,"Pikermi_siteSet_1"
"Zygolophodon turicensis","Europe",7.1,8.2,"Pikermi_siteSet_1"
"Choerolophodon pentelici","Europe",7.1,8.2,"Pikermi-MNHN (PIK)_siteSet_1"
"Deinotherium proavum","Europe",7.1,8.2,"Pikermi-MNHN (PIK)_siteSet_1"
"Konobelodon atticus","Europe",7.1,8.2,"Pikermi-MNHN (PIK)_siteSet_1"
"Zygolophodon turicensis","Europe",7.1,8.2,"Pikermi-MNHN (PIK)_siteSet_1"
"Deinotherium giganteum","Europe",5.3,8.2,"Polgardi_siteSet_1"
"Choerolophodon pentelici","Europe",7.1,8.2,"Prochoma_siteSet_1"
"Stegotetrabelodon syrticus","Asia",5.3,8.2,"Ras Dubayah_siteSet_1"
"Choerolophodon pentelici","Europe",7.1,8.2,"Ravin X_siteSet_1"
"Choerolophodon pentelici","Asia",5.3,8.2,"Sandikli Kinik_siteSet_1"
"Stegotetrabelodon syrticus","Asia",5.3,8.2,"Shuwaihat_siteSet_1"
"Deinotherium giganteum","Europe",7.1,8.2,"Taraklia_siteSet_1"
"Tetralophodon longirostris","Europe",7.1,8.2,"Taraklia_siteSet_1"
"Zygolophodon turicensis","Europe",7.1,8.2,"Taraklia_siteSet_1"
"Choerolophodon pentelici","Europe",5.3,8.2,"Titov Veles_siteSet_1"
"Choerolophodon pentelici","Europe",7.1,8.2,"Vathylakkos 2 (VTK)_siteSet_1"
"Choerolophodon pentelici","Europe",7.1,8.2,"Vathylakkos 3 (VAT)_siteSet_1"
"Choerolophodon pentelici","Asia",7.9,8.16,"Middle Maragheh_siteSet_1"
"Choerolophodon pentelici","Asia",7.4,7.9,"Maragheh (MMTT 13)_siteSet_1"
"Choerolophodon pentelici","Asia",7.4,7.9,"Maragheh (MMTT 37)_siteSet_1"
"Choerolophodon pentelici","Asia",7.4,7.9,"Upper Maragheh_siteSet_1"
"Deinotherium giganteum","Asia",7.4,7.9,"Upper Maragheh_siteSet_1"
"Choerolophodon pentelici","Europe",6.7,7.8,"Samos_siteSet_1"
"Zygolophodon turicensis","Europe",6.7,7.8,"Samos_siteSet_1"
"Amebelodon fricki","North America",6.8,7.6,"Central Great Plains CP116D_siteSet_1"
"Torynobelodon loomisi","North America",6.8,7.6,"Central Great Plains CP126_siteSet_1"
"Amebelodon floridanus","North America",6.8,7.6,"Central Great Plains CP78_siteSet_1"
"Amebelodon fricki","North America",6.8,7.6,"Central Great Plains CP78_siteSet_1"
"Konobelodon britti","North America",6.8,7.6,"Gulf Coast GC11C_siteSet_1"
"Torynobelodon loomisi","North America",6.8,7.6,"Gulf Coast GC12IIA_siteSet_1"
"Konobelodon britti","North America",6.8,7.6,"Southern Great Basin SB34V_siteSet_1"
"Amebelodon fricki","North America",6.8,7.6,"Southern Great Plains SP3A_siteSet_1"
"Anancus kenyensis","Africa",6.54,7.44,"Lower Nawata (Lothagam)_siteSet_1"
"Deinotherium bozasi","Africa",6.54,7.44,"Lower Nawata (Lothagam)_siteSet_1"
"Primelephas korotorensis","Africa",6.54,7.44,"Lower Nawata (Lothagam)_siteSet_1"
"Deinotherium giganteum","Europe",6.48,7.44,"Puy Courny_siteSet_1"
"Tetralophodon longirostris","Europe",6.48,7.44,"Puy Courny_siteSet_1"
"Stegotetrabelodon orbus","Africa",6.54,7.44,"Lothagam-Lower Nawata Mb._siteSet_1"
"Stegodon zdanskyi","Asia",5.3,7.2,"Xili_siteSet_1"
"Choerolophodon pentelici","Europe",6.9,7.2,"Samos (A-1)_siteSet_1"
"Deinotherium proavum","Europe",6.9,7.2,"Samos (A-1)_siteSet_1"
"Choerolophodon pentelici","Europe",6.9,7.2,"Samos Main Bone Beds_siteSet_1"
"Deinotherium proavum","Europe",6.9,7.2,"Samos Main Bone Beds_siteSet_1"
"Konobelodon atticus","Europe",6.9,7.2,"Samos Main Bone Beds_siteSet_1"
"Mammut obliquelophus","Europe",6.9,7.2,"Samos Main Bone Beds_siteSet_1"
"Choerolophodon pentelici","Europe",6.9,7.2,"Samos (DMAS)_siteSet_1"
"Zygolophodon turicensis","Europe",6.9,7.2,"Samos (DMAS)_siteSet_1"
"Zygolophodon turicensis","Europe",6.9,7.2,"Mytilinii 1A_siteSet_1"
"Choerolophodon pentelici","Europe",6.9,7.2,"Mytilinii 1B_siteSet_1"
"Anancus kenyensis","Africa",5.3,7.1,"Albertine 1_siteSet_1"
"Mammuthus subplanifrons","Africa",5.3,7.1,"Albertine 1_siteSet_1"
"Stegodon kaisensis","Africa",5.3,7.1,"Albertine 1_siteSet_1"
"Stegodon kaisensis","Africa",5.3,7.1,"Albertine 11_siteSet_1"
"Primelephas korotorensis","Africa",5.3,7.1,"Albertine 7_siteSet_1"
"Konobelodon atticus","Asia",5.3,7.1,"Amasya 2_siteSet_1"
"Deinotherium giganteum","Europe",5.3,7.1,"Ananjev_siteSet_1"
"Mammut borsoni","Europe",5.3,7.1,"Ananjev_siteSet_1"
"Tetralophodon longirostris","Europe",5.3,7.1,"Arquillo 1_siteSet_1"
"Mammut obliquelophus","Europe",5.3,7.1,"Arquillo 1_siteSet_1"
"Choerolophodon pentelici","Europe",5.3,7.1,"Dytiko 1 (DTK)_siteSet_1"
"Choerolophodon pentelici","Europe",5.3,7.1,"Dytiko 2 (DIT)_siteSet_1"
"Choerolophodon pentelici","Europe",5.3,7.1,"Dytiko 3 (DKO)_siteSet_1"
"Mammut obliquelophus","Europe",5.3,7.1,"Gravitelli_siteSet_1"
"Anancus arvernensis","Asia",4.2,7.1,"Halevik_siteSet_1"
"Anancus kenyensis","Africa",2.6,7.1,"Horizon Indet (Lothagam)_siteSet_1"
"Deinotherium giganteum","Europe",5.4,7.1,"Krivaja Balka_siteSet_1"
"Mammut borsoni","Europe",5.4,7.1,"Krivaja Balka_siteSet_1"
"Tetralophodon longirostris","Europe",5.3,7.1,"Las Casiones_siteSet_1"
"Mammut obliquelophus","Europe",5.3,7.1,"Las Casiones_siteSet_1"
"Choerolophodon pentelici","Europe",4.2,7.1,"Maramena_siteSet_1"
"Mammut obliquelophus","Africa",5.3,7.1,"Menacer_siteSet_1"
"Paratetralophodon exoletus","Asia",5.3,7.1,"Pao-Te-Lok.110_siteSet_1"
"Paratetralophodon exoletus","Asia",5.3,7.1,"Pao-Te-Lok.43_siteSet_1"
"Mammut obliquelophus","Asia",5.3,7.1,"Pao-Te-Lok.49_siteSet_1"
"Konobelodon cyrenaicus","Africa",5.3,7.1,"Sahabi_siteSet_1"
"Stegotetrabelodon syrticus","Africa",5.3,7.1,"Sahabi_siteSet_1"
"Stegolophodon stegodontoides","Asia",5.3,7.1,"Tha Chang 2_siteSet_1"
"Anancus arvernensis","Europe",5.3,7.1,"Vel'ké Bielice_siteSet_1"
"Mammut borsoni","Europe",5.3,7.1,"Vel'ké Bielice_siteSet_1"
"Anancus arvernensis","Europe",5.3,7.1,"Venta del Moro_siteSet_1"
"Anancus osiris","Africa",5.3,7.1,"Wadi Natrun_siteSet_1"
"Deinotherium bozasi","Africa",5.3,7.1,"Wadi Natrun_siteSet_1"
"Anancus petrocchii","Africa",5.3,7.1,"Sahabi_siteSet_1"
"Choerolophodon pentelici","Europe",7,7,"Azmaka 1-4_siteSet_1"
"Deinotherium giganteum","Europe",7,7,"Azmaka 1-4_siteSet_1"
"Konobelodon atticus","Europe",7,7,"Azmaka 1-4_siteSet_1"
"Anancus kenyensis","Africa",6,7,"Mpesida_siteSet_1"
"Stegodon kaisensis","Africa",6,7,"Mpesida_siteSet_1"
"Anancus lehmanni","Europe",7,7,"Azmaka 1-4_siteSet_1"
"Konobelodon britti","North America",5.9,6.8,"Central Great Plains CP123D_siteSet_1"
"Rhynchotherium tlascalae","North America",5.9,6.8,"Southern Great Basin SB56_siteSet_1"
"Konobelodon britti","North America",5.9,6.8,"Southern Great Plains SP1D_siteSet_1"
"Anancus kenyensis","Africa",5.3,6.54,"Upper Nawata (Lothagam)_siteSet_1"
"Deinotherium bozasi","Africa",5.3,6.54,"Upper Nawata (Lothagam)_siteSet_1"
"Primelephas korotorensis","Africa",5.3,6.54,"Upper Nawata (Lothagam)_siteSet_1"
"Stegotetrabelodon orbus","Africa",5.3,6.54,"Lothagam-Upper Nawata Mb_siteSet_1"
"Sinomastodon praeintermedius","Asia",6,6.5,"Shuitangba_siteSet_1"
"Stegodibelodon schneideri","Africa",5.2,6.48,"Middle Awash - Adu mbr._siteSet_1"
"Primelephas korotorensis","Africa",5.6,6.3,"Adu Dora_siteSet_1"
"Anancus kenyensis","Africa",5.6,6.3,"Asa Koma_siteSet_1"
"Primelephas korotorensis","Africa",5.6,6.3,"Asa Koma_siteSet_1"
"Anancus kenyensis","Africa",5.6,6.2,"Lukeino_siteSet_1"
"Primelephas korotorensis","Africa",5.6,6.2,"Lukeino_siteSet_1"
"Anancus kenyensis","Africa",5.6,6.2,"Lukeino 4_siteSet_1"
"Primelephas korotorensis","Africa",5.6,6.2,"Lukeino 4_siteSet_1"
"Stegotetrabelodon orbus","Africa",5.6,6.2,"Lukeino fm._siteSet_1"
"Loxodonta cookei","Africa",5.6,6.2,"Tugen Hills_siteSet_1"
"Anancus kenyensis","Africa",6.04,6.108,"Lemudong'o_siteSet_1"
"Anancus kenyensis","Africa",6,6.1,"Lemudong'o-2_siteSet_1"
