Taxon	Status	MinAge	MaxAge	Site
Prodeinotherium_bavaricum	extinct	14.2	16.4	1051
Prodeinotherium_bavaricum	extinct	14.2	16.4	1071
Gomphotherium_angustidens	extinct	14.2	16.4	1071
Prodeinotherium_bavaricum	extinct	12.5	16.4	1135
Prodeinotherium_bavaricum	extinct	14.2	16.4	1158
Prodeinotherium_bavaricum	extinct	14.2	16.4	1161
Prodeinotherium_bavaricum	extinct	14.2	16.4	1162
Gomphotherium_angustidens	extinct	14.2	16.4	1112
Prodeinotherium_bavaricum	extinct	14.2	16.4	1170
Prodeinotherium_bavaricum	extinct	14.2	16.4	1315
Prodeinotherium_bavaricum	extinct	14.2	16.4	1324
Prodeinotherium_bavaricum	extinct	12.5	16.4	1530
Gomphotherium_angustidens	extinct	14.2	16.4	1158
Zygolophodon_turicensis	extinct	14.2	16.4	1158
Gomphotherium_angustidens	extinct	14.2	16.4	1161
Zygolophodon_turicensis	extinct	14.2	16.4	1161
Gomphotherium_angustidens	extinct	14.2	16.4	1162
Zygolophodon_turicensis	extinct	14.2	16.4	1162
Gomphotherium_angustidens	extinct	14.2	16.4	1170
Zygolophodon_turicensis	extinct	14.2	16.4	1170
Gomphotherium_angustidens	extinct	14.2	16.4	1186
Gomphotherium_angustidens	extinct	14.2	16.4	1188
Zygolophodon_turicensis	extinct	14.2	16.4	1216
Gomphotherium_angustidens	extinct	14.2	16.4	1224
Gomphotherium_angustidens	extinct	14.2	16.4	1241
Gomphotherium_angustidens	extinct	14.2	16.4	1294
Gomphotherium_angustidens	extinct	14.2	16.4	1315
Zygolophodon_turicensis	extinct	14.2	16.4	1315
Gomphotherium_angustidens	extinct	14.2	16.4	1393
Gomphotherium_angustidens	extinct	14.2	16.4	1444
Choerolophodon_chioticus	extinct	14.2	16.4	1473
Zygolophodon_turicensis	extinct	14.2	16.4	1569
Gomphotherium_subtapiroideum	extinct	14.2	16.4	1579
Gomphotherium_angustidens	extinct	14.2	16.4	1637
Prodeinotherium_hobleyi	extinct	14.2	16.4	89
Gomphotherium_angustidens	extinct	14.8	16.4	83
Platybelodon_grangeri	extinct	14.8	16.4	141
Miomastodon_proavus	extinct	14.8	16	1042
Stegolophodon_nasaiensis	extinct	11.63	15.97	126
Protanancus_macinnesi	extinct	13.82	15.97	683
Afrochoerodon_kisumuensis	extinct	13.82	15.97	719
Afrochoerodon_kisumuensis	extinct	13.82	15.97	890
Protanancus_macinnesi	extinct	13.82	15.97	890
Choerolophodon_ngorora	extinct	13.82	15.97	928
Protanancus_macinnesi	extinct	13.82	15.97	1085
Prodeinotherium_hobleyi	extinct	13.82	15.97	683
Prodeinotherium_hobleyi	extinct	13.82	15.97	719
Prodeinotherium_hobleyi	extinct	13.82	15.97	890
Archaeobelodon_filholi	extinct	13.82	15.97	1286
Afrochoerodon_kisumuensis	extinct	13.82	15.97	1504
Protanancus_macinnesi	extinct	13.82	15.97	1504
Afrochoerodon_kisumuensis	extinct	13.82	15.97	1505
Gomphotherium_mongoliense	extinct	13.82	15.97	838
Prodeinotherium_hobleyi	extinct	13.82	15.97	1085
Prodeinotherium_hobleyi	extinct	13.82	15.97	1286
Gomphotherium_productum	extinct	13.6	15.97	78
Gomphotherium_productum	extinct	13.6	15.97	183
