Species	BodySize	Africa	Americas	Eurasia	Island	Deinotheriidae	Elephantidae	Gomphotheriidae	Mammutidae	Stegodontidae	OtherFamilies
Sinomammut_tobieni	0	0	0	1	0	0	0	0	1	0	0
Sinomastodon_bumiajuensis	-2	0	0	1	0	0	0	1	0	0	0
Sinomastodon_huananensis	0	0	0	1	0	0	0	1	0	0	0
Sinomastodon_intermedius	-1	0	0	1	0	0	0	1	0	0	0
Sinomastodon_jiangnanensis	0	0	0	1	0	0	0	1	0	0	0
Sinomastodon_praeintermedius	0	0	0	1	0	0	0	1	0	0	0
Sinomastodon_sendaicus	0	0	0	1	0	0	0	1	0	0	0
Sinomastodon_yangziensis	0	0	0	1	0	0	0	1	0	0	0
Stegodibelodon_schneideri	1	1	0	0	0	0	1	0	0	0	0
Stegodon_aurorae	0	0	0	1	0	0	0	0	0	1	0
Stegodon_bombifrons	0	0	0	1	0	0	0	0	0	1	0
Stegodon_elephantoides	0	0	0	1	0	0	0	0	0	1	0
Stegodon_florensis	-2	0	0	1	1	0	0	0	0	1	0
Stegodon_ganesa	0	0	0	1	0	0	0	0	0	1	0
Stegodon_huananensis	0	0	0	1	0	0	0	0	0	1	0
Stegodon_insignis	0	0	0	1	0	0	0	0	0	1	0
Stegodon_kaisensis	0	1	0	0	0	0	0	0	0	1	0
Stegodon_luzonensis	-1	0	0	1	1	0	0	0	0	1	0
Stegodon_orientalis	0	0	0	1	0	0	0	0	0	1	0
Stegodon_pinjorensis	0	0	0	1	0	0	0	0	0	1	0
Stegodon_sompoensis	-2	0	0	1	1	0	0	0	0	1	0
Stegodon_sondaari	-3	0	0	1	1	0	0	0	0	1	0
Stegodon_timorensis	-3	0	0	1	1	0	0	0	0	1	0
Stegodon_trigonocephalus	0	0	0	1	1	0	0	0	0	1	0
Stegodon_zdanskyi	2	0	0	1	0	0	0	0	0	1	0
Stegolophodon_hueiheensis	0	0	0	1	0	0	0	0	0	1	0
Stegolophodon_latidens	0	0	0	1	0	0	0	0	0	1	0
Stegolophodon_lydekkeri	0	0	0	1	0	0	0	0	0	1	0
Stegolophodon_nasaiensis	0	0	0	1	0	0	0	0	0	1	0
Stegolophodon_pseudolatidens	0	0	0	1	1	0	0	0	0	1	0
Stegolophodon_stegodontoides	0	0	0	1	0	0	0	0	0	1	0
Stegoloxodon_celebensis	-3	0	0	1	1	0	1	0	0	0	0
Stegomastodon_aftoniae	0	0	1	0	0	0	0	1	0	0	0
Stegomastodon_mirificus	0	0	1	0	0	0	0	1	0	0	0
Stegomastodon_platensis	0	0	1	0	0	0	0	1	0	0	0
Stegomastodon_primitivus	0	0	1	0	0	0	0	1	0	0	0
Stegotetrabelodon_orbus	1	1	0	0	0	0	1	0	0	0	0
Stegotetrabelodon_syrticus	2	1	0	1	0	0	1	0	0	0	0
Tetralophodon_euryrostris	0	0	0	1	0	0	0	1	0	0	0
Tetralophodon_longirostris	0	1	0	1	0	0	0	1	0	0	0
Tetralophodon_xiaolongtanensis	0	0	0	1	0	0	0	1	0	0	0
Torynobelodon_barnumbrowni	-2	0	1	0	0	0	0	1	0	0	0
Torynobelodon_loomisi	-2	0	1	0	0	0	0	1	0	0	0
Zygolophodon_aegyptensis	-1	1	0	0	0	0	0	0	1	0	0
Zygolophodon_chinjiensis	0	0	0	1	0	0	0	0	1	0	0
Zygolophodon_turicensis	1	0	0	1	0	0	0	0	1	0	0
